번호,발생시각,규모,깊이(km),위도,경도,위치
472,2010.11.20 0:07,2.7,,36.83 N,126.76 E,충남 당진시 동남동쪽 13km 지역
471,2010.11.7 20:11,2.8,,40.15 N,128.28 E,북한 함경남도 북청 서북서쪽 11km 지역
470,2010.10.25 12:36,2.5,,34.29 N,127.39 E,전남 여수시 거문도 북북동쪽 30km 지역
469,2010.10.23 23:43,2.4,,39.77 N,126.70 E,북한 함경남도 요덕 북서쪽 19km 지역
468,2010.10.22 11:59,2.5,,35.85 N,128.18 E,경북 성주군 남서쪽 12km 지역
467,2010.10.14 18:06,2.3,,37.14 N,129.73 E,경북 울진군 동북동쪽 33km 해역
466,2010.10.7 2:33,2.8,,35.87 N,129.79 E,경북 포항시 남구 동남동쪽 41km 해역
465,2010.10.4 23:24,2.8,,37.67 N,129.70 E,강원 삼척시 동북동쪽 53km 해역
464,2010.9.30 2:07,2.5,,33.41 N,127.34 E,제주 제주시 동남동쪽 67km 해역
463,2010.9.6 19:32,2.8,,36.56 N,129.01 E,경북 청송군 북북서쪽 15km 지역
462,2010.8.28 7:35,3.2,,32.90 N,126.27 E,제주 제주시 고산 남남동쪽 45km 해역
461,2010.8.24 3:59,2.5,,38.71 N,125.90 E,북한 황해북도 송림 동쪽 23km 지역
460,2010.7.27 18:32,2.2,,36.34 N,127.26 E,충남 공주시 남동쪽 17km 지역
459,2010.7.6 3:44,2.3,,36.47 N,127.13 E,충남 공주시 북북동쪽 3km 지역
458,2010.6.28 12:19,2.1,,38.75 N,126.03 E,북한 황해북도 송림 동쪽 34km 지역
457,2010.6.26 4:59,2.7,,32.35 N,125.88 E,제주 서귀포시 이어도 동북동쪽 70km 해역
456,2010.6.22 22:21,2.6,,38.46 N,125.64 E,북한 황해북도 사리원 서남서쪽 12km 지역
455,2010.6.11 13:02,2.1,,38.78 N,126.07 E,북한 황해북도 송림 동쪽 38km 지역
454,2010.5.26 15:22,2.4,,37.60 N,129.68 E,강원 삼척시 동북동쪽 48km 해역
453,2010.5.15 14:44,2.2,,36.00 N,127.84 E,전북 무주군 동쪽 16km 지역
452,2010.4.28 14:42,2.1,,36.55 N,128.71 E,경북 안동시 남서쪽 3km 지역
451,2010.4.27 19:29,2.3,,36.80 N,128.75 E,경북 안동시 북쪽 26km 지역
450,2010.4.16 19:56,2.2,,38.78 N,126.01 E,북한 황해북도 송림 동쪽 29km 지역
449,2010.4.13 2:14,2.5,,34.02 N,125.44 E,전남 신안군 흑산면 남쪽 70km 해역
448,2010.4.12 1:18,2.2,,34.12 N,125.66 E,전남 신안군 흑산면 남남동쪽 61km 해역
447,2010.4.4 12:49,2.3,,38.51 N,126.06 E,북한 황해북도 사리원 동쪽 26km 지역
446,2010.3.9 12:50,3.2,,36.42 N,125.75 E,충남 태안군 서격렬비열도 남동쪽 28km 해역
445,2010.3.1 21:58,2.2,,38.41 N,125.62 E,북한 황해남도 안악 남동쪽 15km 지역
444,2010.2.22 23:29,3,,33.29 N,127.17 E,제주 서귀포시 동쪽 61km 해역
443,2010.2.21 21:17,2.3,,36.75 N,127.10 E,충남 천안시 남서쪽 8km 지역
442,2010.2.16 18:53,3.3,,35.63 N,129.95 E,울산 동구 동북동쪽 64km 해역
441,2010.2.9 18:08,3,,37.45 N,126.80 E,경기 시흥시 북쪽 8km 지역
440,2010.2.3 20:57,2.6,,33.33 N,127.19 E,제주 서귀포시 성산 동남동쪽 29km 해역
439,2010.2.1 6:42,2.4,,33.34 N,127.18 E,제주 서귀포시 성산 동쪽 28km 해역
438,2010.2.1 5:00,2.3,,33.30 N,127.14 E,제주 서귀포시 성산 동남동쪽 26km 해역
437,2010.1.23 17:54,2.1,,36.59 N,128.17 E,경북 상주시 북쪽 20km 지역
436,2010.1.10 11:58,2.1,,38.80 N,126.07 E,북한 평양 남동쪽 37km 지역
435,2010.1.5 20:12,2.6,,36.97 N,126.52 E,충남 당진군 북서쪽 13km 지역
434,2009.12.26 10:55,2.2,,37.87 N,124.91 E,북한 인천 백령도 동남동쪽 22km 해역
433,2009.12.15 9:02,2.4,,36.76 N,127.10 E,충남 아산시 동남동쪽 9km 지역
432,2009.12.15 7:19,2.3,,38.80 N,125.94 E,북한 황해북도 송림 동북동쪽 27km 지역
431,2009.12.11 13:13,2.8,,33.69 N,125.64 E,전남 신안군 가거도 남동쪽 62km 해역
430,2009.12.4 5:14,2.8,,36.72 N,128.55 E,경북 예천군 북동쪽 11km 지역
429,2009.11.27 10:34,2.4,,37.69 N,129.58 E,강원 동해시 동북동쪽 44km 해역
428,2009.11.17 5:38,2.3,,36.07 N,126.95 E,전북 익산시 북쪽 14km 지역
427,2009.11.14 21:27,2.5,,34.81 N,127.93 E,경남 남해군 남동쪽 4km 지역
426,2009.11.14 5:28,2.4,,35.66 N,126.91 E,전북 정읍시 북동쪽 14km 지역
425,2009.11.5 4:31,2.7,,38.42 N,124.87 E,북한 황해남도 장연 서북서쪽 50km 해역
424,2009.10.16 13:12,2.3,,33.40 N,127.29 E,제주 서귀포시 성산 동쪽 38km 해역
423,2009.10.4 12:00,2.5,,39.38 N,126.05 E,북한 평안남도 평성 북북동쪽 17km 지역
422,2009.10.1 21:30,2.9,,38.12 N,126.02 E,북한 황해남도 해주 동북동쪽 28km 지역
421,2009.8.25 23:08,2.4,,37.68 N,124.68 E,인천 백령도 남쪽 30km 해역
420,2009.8.21 23:02,3.8,,38.82 N,125.79 E,북한 황해북도 송림 북동쪽 16km 지역
419,2009.8.17 15:24,2.4,,36.54 N,129.60 E,경북 영덕군 북동쪽 24km 해역
