"","CUS_ID","T_USAGE","PAGEVIEWS","GENDER","SCHOOL","LOCATION"
"1736",3978,1009329,30631,"남자","대학원졸","서울"
"1737",3982,713763,20002,"여자","대졸","그외"
"1738",3984,310538,17359,"여자","대졸","그외"
"1739",3985,477334,24059,"남자","고졸","서울"
"1740",3987,101465,4852,"여자","중졸이하","서울"
"1741",3988,120302,5892,"여자","대졸","서울"
"1742",3989,530805,24059,"남자","대졸","그외"
"1743",3990,703362,28243,"남자","대학원졸","서울"
"1744",3995,464225,15565,"여자","대졸","서울"
"1745",3997,273127,12795,"남자","대졸","그외"
"1746",3999,351078,10379,"남자","대졸","그외"
"1747",4001,872271,36715,"남자","대졸","그외"
"1748",4012,109313,8390,"여자","고졸","서울"
"1749",4013,402038,18758,"남자","고졸","그외"
"1750",4018,1142232,49051,"남자","대학원졸","서울"
"1751",4021,292474,11831,"남자","대졸","그외"
"1752",4023,464710,19356,"남자","대졸","서울"
"1753",4024,337282,13740,"여자","대졸","서울"
"1754",4025,400180,14477,"남자","대졸","그외"
"1755",4028,483623,17339,"여자","대졸","서울"
"1756",4034,213529,6446,"남자","대졸","그외"
"1757",4036,163397,7533,"남자","고졸","서울"
"1758",4037,813058,24584,"여자","대졸","서울"
"1759",4038,426816,16339,"여자","대졸","서울"
"1760",4039,1033737,47632,"남자","고졸","서울"
"1761",4040,226626,17238,"남자","고졸","그외"
"1762",4041,90694,6031,"남자","중졸이하","그외"
"1763",4042,1251273,43108,"남자","고졸","서울"
"1764",4043,629462,40595,"남자","고졸","그외"
"1765",4044,396791,15352,"여자","대졸","그외"
"1766",4046,222273,5661,"여자","대졸","서울"
"1767",4048,285417,11943,"남자","대졸","그외"
"1768",4050,267990,3195,"남자","대학원졸","그외"
"1769",4053,1192577,68446,"여자","대졸","서울"
"1770",4055,323279,19391,"남자","대졸","서울"
"1771",4056,168803,8165,"남자","대졸","그외"
"1772",4058,202178,7451,"남자","고졸","서울"
"1773",4062,491069,16878,"여자","대졸","그외"
"1774",4063,103617,4771,"남자","대학원졸","그외"
"1775",4064,152643,6077,"여자","대졸","서울"
"1776",4066,194617,6169,"남자","대졸","그외"
"1777",4067,53323,10339,"남자","고졸","서울"
"1778",4070,206545,8571,"남자","대학원졸","그외"
"1779",4072,499662,22817,"남자","중졸이하","서울"
"1780",4075,359324,14944,"남자","고졸","그외"
"1781",4078,299492,11498,"남자","대졸","그외"
"1782",4079,620607,33161,"남자","대졸","서울"
"1783",4080,2419597,73932,"남자","고졸","그외"
"1784",4081,460790,17661,"남자","대학원졸","서울"
"1785",4082,291949,12364,"남자","대학원졸","그외"
"1786",4083,693187,53929,"여자","대졸","서울"
"1787",4084,1025314,55645,"남자","대졸","서울"
"1788",4086,186399,9380,"여자","대졸","그외"
"1789",4090,2192485,55001,"여자","대졸","서울"
"1790",4093,685834,17165,"남자","대졸","그외"
"1791",4094,1201340,45965,"남자","대졸","서울"
"1792",4095,772789,40409,"여자","대졸","서울"
"1793",4097,444514,22775,"남자","고졸","그외"
"1794",4098,195252,8476,"여자","대졸","그외"
"1795",4099,617538,32592,"남자","대학원졸","서울"
"1796",4100,194651,9549,"남자","대학원졸","그외"
"1797",4101,216714,13064,"남자","대졸","그외"
"1798",4103,214218,9834,"여자","중졸이하","그외"
"1799",4106,791932,35370,"남자","대졸","서울"
"1800",4107,639398,32915,"남자","대졸","그외"
"1801",4108,775655,37975,"남자","대졸","서울"
"1802",4109,1017279,26003,"남자","고졸","서울"
"1803",4111,328441,6646,"남자","대학원졸","그외"
"1804",4117,232173,11613,"남자","대졸","그외"
"1805",4120,942151,15358,"남자","대졸","서울"
"1806",4121,191067,9070,"여자","대졸","서울"
"1807",4122,310846,10401,"여자","대졸","그외"
"1808",4123,566683,19474,"여자","대졸","서울"
"1809",4127,229507,9955,"여자","대졸","서울"
"1810",4128,608820,11766,"남자","대졸","그외"
"1811",4129,258931,10223,"남자","대졸","서울"
"1812",4132,1008655,47135,"남자","대졸","그외"
"1813",4133,433237,18538,"남자","대졸","그외"
"1814",4134,359391,17452,"여자","고졸","그외"
"1815",4139,227650,9265,"남자","중졸이하","서울"
"1816",4148,461779,11640,"여자","대졸","서울"
"1817",4149,1416115,60777,"남자","대학원졸","서울"
"1818",4151,640643,31279,"여자","대졸","서울"
"1819",4153,186403,9045,"남자","고졸","그외"
"1820",4169,507858,17226,"남자","대학원졸","그외"
"1821",4171,130592,7929,"여자","중졸이하","그외"
"1822",4175,600316,30783,"남자","대학원졸","그외"
"1823",4176,302243,17876,"남자","고졸","서울"
"1824",4178,262540,15280,"남자","대졸","그외"
"1825",4179,1608156,63121,"남자","고졸","서울"
"1826",4183,171241,8813,"남자","대졸","그외"
"1827",4189,78035,3723,"여자","고졸","서울"
"1828",4190,592781,21533,"남자","대졸","그외"
"1829",4200,853870,27368,"여자","고졸","서울"
"1830",4202,588749,31861,"남자","대학원졸","서울"
"1831",4206,83102,3458,"여자","대졸","그외"
"1832",4209,638842,39606,"남자","대학원졸","서울"
"1833",4210,749509,38711,"여자","고졸","서울"
"1834",4211,112476,6709,"여자","대졸","서울"
"1835",4212,224105,13450,"남자","고졸","서울"
